original_NAME,lat,lon,formatted,name,housenumber,district,street,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
BDS Services,13.065684,77.643321,"BDS Nagara, Horamavu, Bangalore, India",BDS Nagara,,Mahadevapura,,,Horamavu,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Acropetal Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
TAAL Tech,26.221449,88.06852,"Taal Basti, Kishanganj, India",,,,,,,Taal Basti,Kishanganj,,Bihar,BR,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Actis Technologies,,,,,,,,,,,,,,,,,,,,
Keysight Network Visibility Test & Security,13.6342977,79.424758,"Asalatha Test Tube Baby & Multispecialty Hospital, Main Road, Tirupati - 517501, AP, India",Asalatha Test Tube Baby & Multispecialty Hospital,,,Main Road,517501,,Tirupati,Tirupati (Urban),CH,Andhra Pradesh,AP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Savvysoft Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Teknorix,,,,,,,,,,,,,,,,,,,,
Consummate Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
LoginRadius,,,,,,,,,,,,,,,,,,,,
Intech Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",,Old Padra Road,390007,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Porteck Corporation,17.43727,78.38536,"United Technologies Corporation, Serilingampally, Hyderabad, India",United Technologies Corporation,,West Zone,,,Serilingampally,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
cloudEQ,,,,,,,,,,,,,,,,,,,,
EvonSys,,,,,,,,,,,,,,,,,,,,
Pocket FM,28.684971,77.312533,"Pocket F, G.T.B. Enclave, Delhi - 110095, DL, India",Pocket F,Pocket F,,G.T.B. Enclave,110095,,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Narvar,25.185798,82.201308,"Narvar Uparhar, Allahabad, India",,,,,,,Narvar Uparhar,Allahabad,,Uttar Pradesh,UP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Tricon Infotech,12.9303897,77.6150393,"Tricon InfoTech Pvt. Ltd., 143,114, Hosur Road, Kormangala West, Bengaluru - 560034, KA, India",Tricon InfoTech Pvt. Ltd.,"143,114",Bengaluru South City Corporation,Hosur Road,560034,Kormangala West,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quest Innovative Solutions,8.5188634,76.9585656,"Virtus Innovative Solutions Private Limited, Belhaven Road, Kowdiar, Thiruvananthapuram - 695001, KL, India",Virtus Innovative Solutions Private Limited,,,Belhaven Road,695001,Kowdiar,Thiruvananthapuram,Thiruvananthapuram,TV,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
NetConnectGlobal,,,,,,,,,,,,,,,,,,,,
"Liventus,",,,,,,,,,,,,,,,,,,,,
Lorhan IT,25.3796,82.95733,"Lorhān, Varanasi, India",,,,,,,Lorhān,Varanasi,VA,Uttar Pradesh,UP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Certa,,,,,,,,,,,,,,,,,,,,
Soliton Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
In,,,,,,,,,,,,,,,,,,,,
ApMoSys Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Teqfocus,,,,,,,,,,,,,,,,,,,,
Clumio,,,,,,,,,,,,,,,,,,,,
Nexgen IOT Solutions,9.9779597,76.3231421,"Nexgen online solutions, Ponnuruni-Chalikkavattom Road, Ponnurunni, Ernakulam - 680019, KL, India",Nexgen online solutions,,,Ponnuruni-Chalikkavattom Road,680019,Ponnurunni,Ernakulam,Kanayannur,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
WeP Peripherals,28.5487863,77.252083,"Rashi Peripherals, 605, Nehru People Market Road, Kalkaji Tehsil, Delhi - 110019, DL, India",Rashi Peripherals,605,South East Delhi,Nehru People Market Road,110019,Kalkaji Tehsil,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Microexcel Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Allyis,,,,,,,,,,,,,,,,,,,,
Yotta Infrastructure Solutions,,,,,,,,,,,,,,,,,,,,
RandomTrees,,,,,,,,,,,,,,,,,,,,
Lentra,,,,,,,,,,,,,,,,,,,,
iMarque Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
atyati Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
VySystems,,,,,,,,,,,,,,,,,,,,
Kovaion Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,Gurgaon,DLF Tower 10th Road,122010,Sector 25A,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Neewee,,,,,,,,,,,,,,,,,,,,
Zelite Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
GeekLurn,,,,,,,,,,,,,,,,,,,,
Boston Technology Corporation,30.9036876,75.7765111,"Boston Bites, Sco123, Ayalli Road, Sunet - 141013, PB, India",Boston Bites,Sco123,,Ayalli Road,141013,,Sunet,Ludhiana (West) Tahsil,LU,Punjab,PB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
People10 Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Modefin,,,,,,,,,,,,,,,,,,,,
Cognus Technology,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
PC Solutions,12.964823,77.5840248,"PCBuildz (Nextgen IT Solutions) - Bangalore's Best Custom PC Shop for Gaming, Editing, 3D Animation & AI Workstation PC Build, No.91, 2nd floor, Shop No, 222-223, Balaji Complex, SP Road, Dharmaraya Swamy Temple Ward, Bengaluru - 560002, KA, India","PCBuildz (Nextgen IT Solutions) - Bangalore's Best Custom PC Shop for Gaming, Editing, 3D Animation & AI Workstation PC Build","No.91, 2nd floor, Shop No, 222-223, Balaji Complex",Bengaluru Central City Corporation,SP Road,560002,Dharmaraya Swamy Temple Ward,Bengaluru,Bangalore North,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Evolutyz Corp,20.29219,85.82174,"Bhubaneswar M Corp, Khordha, India",,,,,,,Bhubaneswar M Corp,Khordha,KH,Odisha,OR,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Tulip Interfaces,26.666462,92.399023,"Tulip Bagen 3, Sonitpur, India",Tulip Bagen 3,,,,,Tulip Bagen 3,,Sonitpur,,Assam,AS,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
KARYA Technologies,12.088643,76.866446,"Karya, Mysore, India",,,,,,,Karya,Mysore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Info Network Management Company,,,,,,,,,,,,,,,,,,,,
QA InfoTech,19.0848336,72.9091136,"Sai Infotech, Ghatkopar East, Mumbai, Mumbai Suburban District, India",Sai Infotech,,Mumbai Zone 6,,,Ghatkopar East,Mumbai,Mumbai Suburban District,,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
QBA Worldwide,15.487908,73.907032,"Sunshine Worldwide School, Old Goa, Panaji - 403110, GA, India",,,,Sunshine Worldwide School,403110,Old Goa,Panaji,North Goa,NG,Goa,GA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
iTech India,10.0213705,76.3119971,"iTech, 2/1266, Salem - Kochi - Kanyakumari Road, Edapally, Kochi - 682024, KL, India",iTech,2/1266,Sahrudaya Nagar,Salem - Kochi - Kanyakumari Road,682024,Edapally,Kochi,Kanayannur,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
eGain Corporation,17.43727,78.38536,"United Technologies Corporation, Serilingampally, Hyderabad, India",United Technologies Corporation,,West Zone,,,Serilingampally,Hyderabad,Hyderabad,HY,Andhra Pradesh,AP,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
DreamSoft4u,,,,,,,,,,,,,,,,,,,,
Celigo,,,,,,,,,,,,,,,,,,,,
Netrix,18.5642983,73.7776435,"Netrix, Gopal Hari Deshmukh Marg, Baner, Pune - 411001, MH, India",Netrix,,Balewadi Phata,Gopal Hari Deshmukh Marg,411001,Baner,Pune,Pune City,PU,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Sarvatra Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Nichi,23.0291787,79.7433472,"Nichi, Shahpura Tahsil, India",,,Nichi,,,,Nichi,Shahpura Tahsil,,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ampl,25.2716621,87.4592493,"Ammapali, NH33, Sundarpur - 813209, BR, India",Ammapali,,,NH33,813209,,Sundarpur,Pirpainti,,Bihar,BR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Techversant,,,,,,,,,,,,,,,,,,,,
Amity Software Systems,18.498506,83.528364,"Amity, Vizianagaram, India",,,,,,,Amity,Vizianagaram,,Andhra Pradesh,AP,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Asta Crs Inc,22.665758,75.885981,"Cr, Indore - 452020, MP, India",,,,Cr,452020,,Indore,Indore,IN,Madhya Pradesh,MP,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
RVU India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
SkyOnn Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Draup,12.9332887,77.6148363,"Draup, Jyoti Nivas College Road, Kormangala West, Bengaluru - 560095, KA, India",Draup,,Bengaluru South City Corporation,Jyoti Nivas College Road,560095,Kormangala West,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Software,28.4917497,77.074302,"Nagarro Software Pvt Ltd, 13, Subedar Major Laxmi Chand Road, Sector 18, Gurgaon - 122016, HR, India",Nagarro Software Pvt Ltd,13,Gurgaon,Subedar Major Laxmi Chand Road,122016,Sector 18,Gurgaon,,,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Infoplus Technologies UK,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Verolt,,,,,,,,,,,,,,,,,,,,
Gaana,12.9058151,77.5675439,"Gaana Residency, Chandranagara, Bengaluru - 560111, KA, India",Gaana Residency,,Bengaluru South City Corporation,Gaana Residency,560111,Chandranagara,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nickelfox Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Tripoto,,,,,,,,,,,,,,,,,,,,
Adaequare,,,,,,,,,,,,,,,,,,,,
smartSense Consulting Solutions,22.5696848,88.4365441,"Geforce Consulting Solutions Pvt. Ltd., 7th Floor, K-1, Manibhandar Building, Module 7A, Ring Road, Sector V, Bidhannagar - 700091, WB, India",Geforce Consulting Solutions Pvt. Ltd.,"7th Floor, K-1, Manibhandar Building, Module 7A",GP Block,Ring Road,700091,Sector V,Bidhannagar,Bidhannagar,PS,West Bengal,WB,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Collabera India,28.193235,94.154038,"Arunachal Pradesh, India",Arunachal Pradesh,,,,,,,,,,,India,in,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Airmeet,,,,,,,,,,,,,,,,,,,,
NewVision Software,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
InheritX Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
SMS,9.9491688,76.2993943,"SMS Sereniti, Panampilly Nagar, Ernakulam, Kanayannur, India",SMS Sereniti,,,,,Panampilly Nagar,Ernakulam,Kanayannur,,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Godrej Infotech,19.105434,72.9231706,"Godrej Infotech, Lal Bahadur Shastri Marg, Pirojsha Godrej Nagar, Mumbai - 400079, MH, India",Godrej Infotech,,Mumbai Zone 6,Lal Bahadur Shastri Marg,400079,Pirojsha Godrej Nagar,Mumbai,Mumbai Suburban District,,Maharashtra,MH,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
IDrive Software India,25.34526,72.6269381,"Software Technology, Shop No.17-19, NH325, Jalore - 343001, RJ, India",Software Technology,Shop No.17-19,,NH325,343001,,Jalore,Jalor Tehsil,JL,Rajasthan,RJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
StartUP,12.916116,77.630588,"GreenBubbles Startup Services Pvt. Ltd., L165, Outer Ring Road, HSR Layout, Bengaluru - 560102, KA, India",GreenBubbles Startup Services Pvt. Ltd.,L165,Bengaluru South City Corporation,Outer Ring Road,560102,HSR Layout,Bengaluru,Bangalore South,,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
mphrX,,,,,,,,,,,,,,,,,,,,
WebEngage,,,,,,,,,,,,,,,,,,,,
ProTechmanize Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Avanze,,,,,,,,,,,,,,,,,,,,
Eastern Enterprise,18.9702029,84.3669571,"Eastern Ghats, Burakhat, Ramagiri, India",Eastern Ghats,,,,,,Burakhat,Ramagiri,GP,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Quess GTS,9.585111,76.611541,"Govt Gts School Junction, Kottayam, India",,,,,,,Govt Gts School Junction,Kottayam,,Kerala,KL,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Reverie Language Technologies,,,,,,,,,,,,,,,,,,,,
Deqode,,,,,,,,,,,,,,,,,,,,
Benchmark IT Solutions,12.871548,77.5957151,"Klassik Benchmark, Yelenahalli, Bengaluru - 560076, KA, India",Klassik Benchmark,,Bengaluru South City Corporation,Klassik Benchmark,560076,Yelenahalli,Bengaluru,Bangalore South,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Pinga Solution,25.624946,85.05557,"Print Solution, 2, Gola Road, Danapur, Dinapore - 801503, BR, India",Print Solution,2,,"Gola Road, Danapur",801503,,Dinapore,Patna,PA,Bihar,BR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Embitel Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
ZIGRAM,,,,,,,,,,,,,,,,,,,,
BridgeLabz,,,,,,,,,,,,,,,,,,,,
Tech Connect Services,10.1127581,76.2019432,"12pt Publishing Tech & Design Services, Cheruvypu jn, Kuzhupilly, Vypin - Pallippuram Road, Pallathamkulangara, Kuzhupilly - 682501, KL, India",12pt Publishing Tech & Design Services,"Cheruvypu jn, Kuzhupilly",Pallathamkulangara,Vypin - Pallippuram Road,682501,,Kuzhupilly,Kochi,ER,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
HELM360,,,,,,,,,,,,,,,,,,,,
Federal Soft Systems,10.3339305,76.1774681,"Federal Bank, Potta - Moonupeedika Road, Irinjalakuda - 680122, KL, India",Federal Bank,,,Potta - Moonupeedika Road,680122,,Irinjalakuda,Mukundapuram,TS,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Vagaro Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
eProcurement Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Nascent Info Technologies,,,,,,,,,,,,,,,,,,,,
Ellicium Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Awign,,,,,,,,,,,,,,,,,,,,
LRS Services,22.217069,84.878696,"LRS-II, Raurkela - 769017, OR, India",,,,LRS-II,769017,,Raurkela,Sundargarh,SU,Odisha,OR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Caelius Consulting,28.4935315,77.088317,"Boston Consulting Group, DLF Tower 10th Road, Sector 25A, Gurgaon - 122010, HR, India",Boston Consulting Group,,Gurgaon,DLF Tower 10th Road,122010,Sector 25A,Gurgaon,Gurugram,GG,Haryana,HR,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Excelacom Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Softlogic Systems,22.304211,73.165385,"Omikron Systems, 205 & 206, SAKAR Complex, Old Padra Road, Vadodara - 390007, GJ, India",Omikron Systems,"205 & 206, SAKAR Complex",,Old Padra Road,390007,,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Corent Technology,,,,,,,,,,,,,,,,,,,,
ABSYZ Inc,22.31028,73.16672,"Webmyne INC, Vadodara, India",Webmyne INC,,,,,Webmyne INC,Vadodara,Vadodara,,Gujarat,GJ,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
UrbanPiper,12.9701504,77.7310698,"UrbanPiper, 204, Vydehi Hospital Road, Kundalahalli, Bengaluru - 560066, KA, India",UrbanPiper,204,Bengaluru East City Corporation,Vydehi Hospital Road,560066,Kundalahalli,Bengaluru,Bangalore East,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SoftSol,17.4395782,78.378051,"SoftSol, Inorbit Mall Road, Madhapur, Hyderabad - 996544, TG, India",SoftSol,,West Zone,Inorbit Mall Road,996544,Madhapur,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
GlobalEdge,,,,,,,,,,,,,,,,,,,,
BPK Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
AM Research,9.6165408,77.1436179,"Kumily Waste Management Study And Research Center, Adimaly - Kumily Highway, Murickady - 685535, KL, India",Kumily Waste Management Study And Research Center,,,Adimaly - Kumily Highway,685535,,Murickady,Peerumade,,Kerala,KL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Inspiredge IT Solutions,,,,,,,,,,,,,,,,,,,,
Inflow Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
Enhancesys Innovations,17.4523593,78.3628041,"Euclid Innovations, 650 SLN Terminus, Gachibowli - Miyapur Highway, Ward 106 Serilingampally, Hyderabad - 500084, TG, India",Euclid Innovations,650 SLN Terminus,Studiorigin - Interior Designer in Hyderabad,Gachibowli - Miyapur Highway,500084,Ward 106 Serilingampally,Hyderabad,Serilingampalle mandal,HY,Telangana,TG,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Indusface,,,,,,,,,,,,,,,,,,,,
SELP,,,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,,,,,,
Opsera,,,,,,,,,,,,,,,,,,,,
Smartedge Solutions,12.98049,77.60469,"Mobipro Solutions, Bangalore, India",Mobipro Solutions,,East Bangalore,,,Mobipro Solutions,Bangalore,Bangalore,,Karnataka,KA,India,in,0,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Privafy,,,,,,,,,,,,,,,,,,,,
LSA Recruit,13.147494,79.83848,"Police Recruit School Thiruvallur, - 631203, TN, India",,,,Police Recruit School Thiruvallur,631203,,,Thiruvallur,TL,Tamil Nadu,TN,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Netenrich,",,,,,,,,,,,,,,,,,,,,
National Computer Systems,28.6119151,77.2196391,"National Museum, Janpath, Chanakya Puri Tehsil, New Delhi - 020626, India",National Museum,,,Janpath,020626,Chanakya Puri Tehsil,New Delhi,,,,,India,in,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
UniqueHire Consulting LLP,28.5480737,77.2533897,"Simran Consulting LLP, 89, Nehru Place, Kalkaji Tehsil, Delhi - 110019, DL, India",Simran Consulting LLP,89,South East Delhi,Nehru Place,110019,Kalkaji Tehsil,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Estuate,",,,,,,,,,,,,,,,,,,,,
Bourntec Solutions Inc,,,,,,,,,,,,,,,,,,,,
Inventech Info Solutions,22.5541975,72.9478591,"Ananya Info Solutions, SF-229, NARAYAN EMPIRE, ANAND VIDYA NAGAR ROAD, Anand - 388001, GJ, India",Ananya Info Solutions,"SF-229, NARAYAN EMPIRE",,ANAND VIDYA NAGAR ROAD,388001,,Anand,Anand City Taluka,AN,Gujarat,GJ,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
InfoVision Labs,13.01012,77.644967,"Saartha Labs Private Labs, 12, 2nd floor, Banaswadi Main Road, Banasavadi, Bangalore - 560043, KA, India",Saartha Labs Private Labs,"12, 2nd floor",East Bangalore,Banaswadi Main Road,560043,Banasavadi,Bangalore,Bangalore,BN,Karnataka,KA,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Numeric Technologies,28.65003,77.23144,"PointerSoft Technologies Pvt Lmt, Jama Masjid, Delhi, South West Delhi, India",PointerSoft Technologies Pvt Lmt,,,,,Jama Masjid,Delhi,South West Delhi,SW,Delhi,DL,India,in,0,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
